Developer,City,Administrative division,Country,Est.,"Notable games, series or franchises",Notes
0verflow,Tokyo,,Japan,1997,School DaysSummer DaysCross Days,Visual Novel brand (both developer and publisher)
11 bit studios,Warsaw,Masovian Voivodeship,Poland,2010,Frostpunk,Indie developer/publisher
1C Company,Moscow,,Russia,1991,King's Bounty: Warriors of the North,"Game localization. The game development subsidiary, Snowball Studios [ru], was dissolved and former employees of the studios formed Snowbird Game Studios."
1-Up Studio,Tokyo,,Japan,2000,Mother 3,Subsidiary of Nintendo. Formed by former employees of Square
2K Czech,Brno,,Czech Republic,1997,MafiaMafia II,Former subsidiary of 2K Games; previously known as Illusion Softworks; closed in 2017 after merged into Hangar 13
2K Games,Novato,California,United States,2005,,Developer/publisher/distributor/marketer; owned by Take-Two Interactive
2K Sports,Novato,California,United States,2005,NBA 2K seriesNHL 2K seriesWWE 2K series,Developer/publisher and subsidiary of 2K Games
343 Industries,Redmond,Washington,United States,2009,Halo series,"Subsidiary of Microsoft Studios, took over development for the Halo franchise from Bungie"
38 Studios,Providence,Rhode Island,United States,2006,Kingdoms of Amalur: Reckoning,Defunct in 2012; their assets were acquired by THQ Nordic
3D Realms,Garland,Texas,United States,1987,Duke Nukem,
42 Entertainment,Pasadena,California,United States,1993,I Love Bees,
4A Games,KyivSliema,,UkraineMalta,20052014,Metro series,They moved its headquarters from Ukraine to Malta; acquired by Embracer Group in 2020[1]
5th Cell,Bellevue,Washington,United States,2003,Scribblenauts series,
989 Studios,Foster City,California,United States,1995,Twisted Metal III–4Jet Moto 2124,Division of Sony Computer Entertainment America
Acclaim Entertainment,Glen Cove,New York,United States,1987,,Developer/Publisher; declared Bankruptcy August 2004
Acclaim Studios Austin,Santa Clara,California,United States,1991,Turok seriesAll-Star Baseball seriesSouth Park series,Acquired by Acclaim Entertainment in 1995
Accolade,San Jose,California,United States,1984,HardBall! seriesStar Control seriesTest Drive II–III,"Former publisher and developer. Acquired by Atari, SA née Infogrames in 1999, name retired."
Access Games,Osaka,,Japan,2002,Deadly Premonition,Subsidiary of Digital Media Lab [ja]
Access Software,Salt Lake City,Utah,United States,1982,Under a Killing MoonThe Pandora Directive,Acquired by Microsoft
